hanzi,sentence,en
转,前面路口向左转。,Turn left at the intersection ahead.
辞职,他决定辞职回家。,He decided to resign and go home.
退步,他的成绩退步了不少。,His grades have declined quite a bit.
适当,请选择适当的时间见面。,Please choose an appropriate time to meet.
逐步,公司逐步扩大了规模。,The company gradually expanded its scale.
遗憾,没能参加比赛，他很遗憾。,He deeply regrets not being able to join the competition.
避免,我们要避免犯同样的错误。,We must avoid making the same mistake.
销售,这家公司销售电子产品。,This company sells electronic products.
问道,他问道你叫什么名字？,"He asked, 'What is your name?'"
阳台,妈妈在阳台上种花。,Mom grows flowers on the balcony.
限度,他的耐心已经到了限度。,His patience has reached its limit.
魅力,这座城市充满魅力。,This city is full of charm.
一声,妈的声调是一声。,The tone of 'mā' is the first tone.
一致,大家的意见一致。,Everyone's opinions are consistent.
严肃,老师的表情很严肃。,The teacher's expression was very serious.
主持人,她是这个节目的主持人。,She is the host of this show.
从事,他从事教育工作。,He is engaged in education work.
全面,我们要全面了解情况。,We need to comprehensively understand the situation.
内心,她内心非常紧张。,She was very nervous inside.
创作,他正在创作一首新歌。,He is composing a new song.
去世,他的爷爷去年去世了。,His grandfather passed away last year.
后者,两个选择中我更喜欢后者。,"Of the two choices, I prefer the latter."
吓跑,巨大的声音把小猫吓跑了。,The loud noise scared the kitten away.
启发,这本书给了我很大启发。,This book gave me great inspiration.
奇迹,这真是一个奇迹。,This is truly a miracle.
媒体,很多媒体报道了这件事。,Many media outlets reported on this matter.
宣传,商店在宣传新产品。,The store is promoting a new product.
对待,老师对待学生很耐心。,The teacher treats students patiently.
小姑娘,那个小姑娘很可爱。,That little girl is very cute.
少数,只有少数人同意这个计划。,Only a small number of people agreed to this plan.
广泛,这个消息传播得很广泛。,This news spread very widely.
彩虹,雨后天空出现了彩虹。,A rainbow appeared in the sky after the rain.
心态,保持好心态很重要。,It's important to maintain a good mindset.
心想,他心想这次一定能成功。,He thought to himself that this time he would surely succeed.
愿,他愿为朋友付出一切。,He is willing to give everything for his friends.
把握,我们要把握这次机会。,We must seize this opportunity.
拼命,他拼命工作赚钱。,He works desperately hard to earn money.
时髦,她的穿着很时髦。,Her outfit is very fashionable.
有助于,运动有助于身体健康。,Exercise contributes to good health.
朝,他朝我笑了笑。,He smiled toward me.
沟通,父母要和孩子多沟通。,Parents should communicate more with their children.
牌,门口挂着一块牌。,A sign hangs at the entrance.
物质,水是一种常见的物质。,Water is a common substance.
立即,请立即离开这里。,Please leave here immediately.
第三天,第三天他终于到达了。,"On the third day, he finally arrived."
答应,我喊了他，可是没人答应。,"I called him, but no one answered."
细节,这个计划的细节还没定。,The details of this plan haven't been decided yet.
美妙,音乐会的旋律非常美妙。,The melody at the concert was wonderful.
行业,他从事餐饮行业。,He works in the catering industry.
规则,大家要遵守游戏规则。,Everyone must follow the rules of the game.
谈判,双方正在进行谈判。,Both sides are conducting negotiations.
谈话,老师找我谈话了。,The teacher had a talk with me.
足够,我们有足够的时间。,We have enough time.
踩,别踩我的脚。,Don't step on my foot.
防止,关好门防止猫跑出去。,Close the door properly to prevent the cat from running out.
陷入,他陷入了深深的思考。,He sank into deep thought.
鞋子,这双鞋子很舒服。,These shoes are very comfortable.
领导,他是我们公司的领导。,He is the leader of our company.
一幅,墙上挂着一幅画。,A painting hangs on the wall.
不要紧,迟到十分钟不要紧。,Being ten minutes late doesn't matter.
两条,桌上有两条鱼。,There are two fish on the table.
中国画,他喜欢画中国画。,He likes painting Chinese paintings.
书架上,书放在书架上。,The books are placed on the bookshelf.
书画,他从小喜欢书画。,He has liked painting and calligraphy since childhood.
体验,你可以来体验一下。,You can come and experience it yourself.
入睡,他很快就入睡了。,He fell asleep quickly.
出任,他出任新公司经理。,He took up the post of manager at the new company.
助理,她是经理的助理。,She is the manager's assistant.
墙壁,墙壁上挂着照片。,Photos hang on the wall.
壶,桌子上有一壶茶。,There is a pot of tea on the table.
如此,事情竟然如此简单。,The matter turned out to be so simple.
娱乐,周末我们喜欢娱乐一下。,On weekends we like to have some fun.
客服部,请联系客服部处理。,Please contact the customer service department to handle it.
尾巴,小狗摇着尾巴跑来。,The puppy ran over wagging its tail.
山水画,他画了一幅山水画。,He painted a landscape painting.
年代,这是八十年代的照片。,This is a photo from the 1980s.
广告牌,路边有一块广告牌。,There is a billboard by the road.
快餐店,我们在快餐店吃饭。,We ate at the fast food shop.
恨,他很恨那个坏人。,He hates that bad person very much.
挣,他每天努力挣钱。,He works hard to earn money every day.
接电话,我正在接电话。,I am answering the phone.
日照时间,夏天日照时间更长。,"In summer, the hours of sunshine are longer."
水壶,他带了一个水壶。,He brought a kettle.
池子,院子里有一个池子。,There is a pond in the courtyard.
用于,这笔钱用于教育。,This money is used for education.
第二位,他排在第二位。,He is ranked in second place.
记号,他在书上做了记号。,He made a mark in the book.
记载,历史书记载了这件事。,The history book records this event.
讲座,今晚有一场讲座。,There is a lecture tonight.
车子,他的车子坏了。,His car broke down.
过期,这瓶牛奶已经过期了。,This bottle of milk has already expired.
陛下,大臣对陛下说话。,The minister spoke to His Majesty.
随口,他随口说了一句。,He said a sentence offhand.
非,他非去不可。,He absolutely must go.
黄金,她戴着黄金戒指。,She wears a gold ring.
倍数,十是五的倍数。,Ten is a multiple of five.
冰雪节,我们去看冰雪节。,We went to see the ice and snow festival.
半瓶,桌上还有半瓶水。,There is still half a bottle of water on the table.
口袋,钥匙在他口袋里。,The key is in his pocket.
商人,他是一个成功的商人。,He is a successful businessman.
团队,我们的团队很努力。,Our team works very hard.
坑,路上有一个大坑。,There is a big pit on the road.
城门,士兵守着城门。,The soldiers guard the city gate.
大猩猩,动物园里有大猩猩。,There are gorillas in the zoo.
宣纸,他用宣纸写书法。,He writes calligraphy on rice paper.
底儿,这件事我心里有底儿。,I have a good grasp of this matter in my mind.
悲伤,她感到非常悲伤。,She felt very sad.
戒指,她买了一枚戒指。,She bought a ring.
服药,请按时服药。,Please take your medicine on time.
枚,她有一枚金戒指。,She has a gold ring.
椰子壳,他用椰子壳做碗。,He makes a bowl from a coconut shell.
橙子,我喜欢吃橙子。,I like eating oranges.
泡馍,西安的泡馍很有名。,Xi'an's paomo (meat and bread soup) is very famous.
灯光,舞台上灯光很亮。,The lights on the stage are very bright.
独处,她喜欢一个人独处。,She likes to spend time alone.
瓦,屋顶铺着黑瓦。,The roof is covered with black tiles.
电子,他买了电子词典。,He bought an electronic dictionary.
第一组,请第一组先来。,Please let the first group go first.
裤腿,他卷起了裤腿。,He rolled up his trouser legs.
请帖,她收到一张请帖。,She received an invitation card.
贵族,他出身贵族家庭。,He was born into a noble family.
车夫,车夫拉着车前进。,The coachman pulled the cart forward.
酸葡萄,这只是他的酸葡萄心理。,This is just his sour-grapes mentality.
